TOT_POP,% Asian-alone,GQ_ESTIMATES_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code,0-19 %,20-49 %,50+ %,TOT_POP_log,% Asian-alone_log,GQ_ESTIMATES_2018_log,R_INTERNATIONAL_MIG_2018_log,Civilian_labor_force_2018_log,Employed_2018_log,Total nurse practitioners (2019)_log,Total physician assistants (2019)_log,Total Hospitals (2019)_log,Internal Medicine Primary Care (2019)_log,Family Medicine/General Practice Primary Care (2019)_log,Total Specialist Physicians (2019)_log,Heart disease_prevalence
26625,0.334272301,303,10.0,1.3,1.5,14.1,35.4,18.8,15.5,23.3,21.3,50374,12456,11696,50374,88.9,11.77305929,10.07635369,0.383556683,19.75050558,16.04279098,54.0788287,49.7,38.6,11.3,13.7,3.8,6,25.104225352112675,32.23286384976526,42.66291079812206,10.189793678807979,1.6741524745130558,5.730099782973574,1.8718021769015913,9.430359045942868,9.367429587218957,2.819773985554042,2.713127535596664,1.683349249242074,3.2088459162808087,3.046558030212809,4.078872631806526,10.1
51266,0.450591035,1302,13.1,-3.4,0.0,10.2,48.4,17.6,15.0,20.9,18.8,45761,22421,21317,45761,75.2,28.03264746,22.69271433,0.796586726,41.53459233,28.83724008,107.1469191,46.7,33.2,9.9,13.1,3.5,5,21.50157999453829,31.908087231303398,46.59033277415831,10.844880569171112,1.6957240495842156,7.175489713624222,1.6094379124341003,10.017976279020827,9.96749468251042,3.4974963893846684,3.321169358019697,1.757269248803678,3.8401959570964532,3.5215619734923727,4.719809789345006,9.2
37779,1.042907435,5022,9.2,1.5,0.6,10.8,43.8,16.1,12.2,14.8,13.3,54718,16882,16245,54718,98.2,19.49391292,4.770447847,0.745206054,14.85331158,18.75999787,49.14972658,47.0,33.7,9.2,12.2,2.9,2,23.910108790597953,39.74694936340295,36.3429418459991,10.539641011575952,1.7988852595391187,8.522578663692576,1.7227665977411035,9.734299374132137,9.695848187757884,3.198424634436411,2.279362304001046,1.748365777324192,2.988370823445285,3.1680034048479753,3.9917529241267724,7.3
91984,1.489389459,1216,9.1,1.4,0.5,7.9,32.8,24.3,9.8,12.5,10.8,61849,44792,43309,61849,119.1,26.38392586,30.04641601,2.915995343,30.76958286,52.7211958,108.7549623,46.9,36.5,8.1,11.2,3.0,3,25.883849365106975,37.393459732127326,36.7226909027657,11.429424283665295,1.8701684521767301,7.107425474110705,1.7047480922384253,10.709896451875155,10.676231187367216,3.446295846554219,3.556673354614679,2.0688854394379734,3.577097891475223,4.055624450946788,4.7340466814949185,7.8
134487,2.993597894,4326,10.3,1.7,2.3,8.9,36.4,21.2,17.3,27.6,25.2,48413,62865,60219,48413,85.5,59.46754649,50.89722362,1.93740423,99.76286363,81.03462274,273.1605422,48.0,37.5,9.6,12.5,3.4,4,25.551912080721557,36.52323272881394,37.924855190464505,11.80925999670115,2.0786409580482634,8.373553741214627,1.9878743481543455,11.048824381377107,11.005826222945052,4.166161941982877,4.023514712022424,1.9369276742925827,4.651699354412916,4.454749805235897,5.628198436935555,8.4
883305,35.91103866,24235,7.5,2.6,7.2,11.5,12.3,57.1,10.1,10.9,11.1,110601,575567,562022,110601,147.0,344.1931335,176.7858465,8.016435378,499.3636333,339.3698743,1312.350762,23.9,16.8,3.8,8.8,2.3,1,15.01938741431329,51.583541358873774,33.39707122681293,13.691431493851072,3.711399920521483,10.09575944018325,2.501435951739211,13.263119607919862,13.23930517042644,5.855625160255508,5.202829326677548,2.5662128188041513,6.22329750256209,5.841716295731074,7.183378000375288,4.6
20299,0.669983743,89,11.4,-1.3,0.1,18.7,41.8,10.4,20.5,33.6,34.1,48708,9182,8778,48708,83.1,9.291308264,6.419975617,0.27980056,9.605842687,6.582066976,24.67647977,46.1,32.9,10.6,15.5,3.9,4,24.46918567417114,34.94260801024681,40.58820631558205,9.918573189954168,1.735186250539783,4.543294782270004,1.62924053973028,9.125544720271467,9.080573313917117,2.6596515387659334,2.4353640691117495,1.66388832427749,2.6814216327031097,2.4494579515532395,3.3903548051328407,9.1
2801,0.714030703,96,8.6,6.8,7.2,13.2,33.6,20.6,10.2,14.0,13.1,53107,1557,1512,53107,93.1,1.501723464,1.282655982,0.180968789,1.076288064,1.717616055,3.04154562,40.4,30.4,6.1,10.3,3.1,6,27.240271331667262,32.63120314173509,40.12852552659764,7.939515260662406,1.74292467708781,4.61512051684126,2.501435951739211,7.3537223303996315,7.324489979348532,1.8720672900636834,1.8377928181417256,1.6449920636878896,1.80439399374795,1.904733337874833,2.084621306008418,7.8
628195,5.128980651,8038,9.7,-0.3,1.2,6.1,28.8,40.5,5.7,6.6,6.0,88538,341069,328286,88538,145.4,343.5019111,278.0683041,9.761085292,508.9498542,353.3610977,1312.939548,39.3,29.8,6.4,10.7,2.7,2,22.610335962559397,35.306234529087305,42.0834295083533,13.350613866086682,2.3154006864451593,8.99255742690407,1.824549292051046,12.739854741520304,12.70165568916326,5.853643713973204,5.64568822576508,2.691994345737475,6.242125700773707,5.88154113084557,7.183824847546214,6.3
4341,1.243953006,573,11.0,-0.7,0.0,20.1,42.0,11.6,24.3,29.4,26.9,29515,1624,1534,29515,62.3,2.117229511,1.102119472,0.084937779,2.028148426,2.351326316,5.995364193,48.3,35.7,5.8,14.3,3.8,6,22.96705828150196,38.60861552637641,38.42432619212163,8.377011160816375,1.8316134763596486,6.359573868672378,1.6094379124341003,7.395721608602045,7.338888133838879,1.9625185360759385,1.8086361652571843,1.626282793240803,1.9499232893391791,1.9948807481018562,2.39747374696884,7.6
