review,polarity
just did the latest update on viber and yet again after an update it has problemsi can send messages but when i try to make a call its saying ringing but theres no sound and i dont think its actually ringing at all and nobody answers my calls almost every time viber do updates some part of it after doesnt work please fix it asapim in england thank you,0
keeps crashing it only works well in extreme data savings mode in high data savings mode it keeps crashing and sometimes websites dont loadplease fix this or i am moving to another browser,0
the fail boat has arrived the version is touted as being advanced but in fact it contains a big old disappointment the widget which wasnt even available when google urged us to switch our sms function to hangouts is now no longer available wth fail why do i want to use an sms app or any messaging app which cant even give me a quick review widget on my home screen pffft rolled back to apk and using the standalone google messenger app which offers not one but two excellent widgets one personspecific,0
superfast just as i remember it opera mini was the browser back in the days of symbian glad to see itstill up there superfast smooth minimal data used as opposed to chrome which is starting to stutter lag even on simple pages with a few commercials,1
installed and immediately deleted this crap i have used firefox on my desktop for longer then i can remember and i will continue to only use it on my desktop your only options for a homepage are the crap they want you to see or a blank page with nothing on it and you cant go to a bookmarked website unless you want to go back to their crappy homepage just to see your bookmark list and did i mention its crap,1
totally diferent from the web page do not use this app use the web page instead you will be able to do much more from there it is almost impossible to apply to a job from here,0
very reliable syncing butthe web ui looks like its been designed by a college kid with a laptopno grid viewgb free space in wah photos look ridiculous on list viewthe android app does nothing but getting bigger and bigger with each update without adding up any noticeable featuretoo plain and oversimplified uino download option directly to sd card,0
its great when it works but right now it wont download any mms it just says theyre there and wont download them and then loses the message when i switch to a different app to try to download it instead,1
doesnt let me click into anything always tells me to check my connection while there is literally nothing wrong with my connection i can scroll through my timeline i just cant click into anything since i updated missing my old version smh,0
you dont say what the updates are please take minute and tell us what and why we are updating and not leave the same old message there,0
freaking awesome it has no real story line but it doesnt matterthis was the first video game i ever played so i obviously love itits almost better than super mario brother for crying out loudthe characters are greatthe pigs are cuteand it has my favorite bird in it hall or green birdnot gonna get in to the details of why i love hall but mea also the pigs forts are awesome so thats why i rated angry birds five out of five game of the year,1
neat idea but letdown by no linux support an application like evernote is only as useful as the service behind it and the service behind a concept like evernote is only as useful as the availability of an application or program to connect to said service which is where evernote fails it is not natively available for linuxbased operating systems such as ubuntu sure the android application works well enough but when the only way to access evernote under a linuxbased operating system is via a web browser it quickly looses its appeal,0
not responding occasionally sometimes chrome just wont respond it doesnt seem to be fixated on a certain website or so it happens at random it is far much better than before and yes its not my phones fault as i can just press the home button and operate my phone no problem there,0
best browser but keeps crashing ive no clue but my browser keeps on crashing for unknown reasoneven while browsing on simplest of websitesthis is after the previous update updating again hopefully it goes away,0
unexpected the new update doesnt let you change your profile pic and the profile pic cant be seen properly after selecting fix it,0
hate it the new update shifted my tab in lower keyits just sooo irritatingtab looks good on chrome window onlyi want tht bk,0
when youll add gif support ill give you stars edit gif support added indeed heres your stars,1
bug fixes required this version is much better than the previous one in terms of ui design and data compression this version gives me at least saving the saved pages view is good as well as the tab previews please provide an option to disable vibration for the facebook push notifications and fix the in built wikipedia search engine language every time i search for something through it the page appears in german i have to manually go to the english version of the page and search please fix this,0
great app but one problem ruins it i love the firefox for android its fast and efficient and all the addons are great yet the menu key problem ruins the app firefox will automatically turn on or off the menu key based on if it detects a hardware menu button the only problem is it gets it wrong sometimes and theres no way to force it,1
firefox is getting better slowly it crashes regularly it doesnt play video on youtube otherwise it is a promising fast browser i still miss the gesturesswipes and a well organized homepage with my selected bookmarks see ucbrowser hd,0
issue my dropbox is password protected but anyone can access my data if hes using my phone i opened picsart to edit my pics there was option to open dropbox pics without password plz fix it,0
improve please add a feature where we can see online contacts onlywe are tired of searching contact and knowing that whether it is online or notthanks,0
